Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
PD_53P_filtered_1	1.3693994768	47.0	129.335579284	3223876.0	9.09090909091
PD_53P_filtered_2	1.32212853256	47.0	129.404746957	3223876.0	9.09090909091
PD_54P_filtered_1	2.31464629077	48.0	126.509542892	3796281.0	9.09090909091
PD_54P_filtered_2	2.28274307883	48.0	126.694720965	3796281.0	9.09090909091
PD_55P_filtered_1	3.16859088697	47.0	131.546064483	3604838.0	9.09090909091
PD_55P_filtered_2	3.06228564417	47.0	131.675935507	3604838.0	9.09090909091
PD_56P_filtered_1	2.24294691362	48.0	126.629613455	6315494.0	9.09090909091
PD_56P_filtered_2	2.19099766285	48.0	126.809243426	6315494.0	9.09090909091
PD_57P_filtered_1	3.19959575538	45.0	123.446243661	4090113.0	9.09090909091
PD_57P_filtered_2	3.13697447283	45.0	123.799752721	4090113.0	9.09090909091
PD_58P_filtered_1	1.60726440381	48.0	126.854830026	3428822.0	9.09090909091
PD_58P_filtered_2	1.64574257325	48.0	127.072127979	3428822.0	9.09090909091
PD_59P_filtered_1	1.04327284432	51.0	125.343930864	2560974.0	9.09090909091
PD_59P_filtered_2	1.05372585041	51.0	125.556038445	2560974.0	18.1818181818
PD_5P_filtered_1	1.33179447619	49.0	125.796788621	3277533.0	9.09090909091
PD_5P_filtered_2	1.32173967389	49.0	126.037393979	3277533.0	9.09090909091
PD_60P_filtered_1	1.50229694514	47.0	126.039053564	3599313.0	9.09090909091
PD_60P_filtered_2	1.48045021007	47.0	126.32795314	3599313.0	9.09090909091
PD_63P_filtered_1	1.70568285229	47.0	136.920586367	3019406.0	9.09090909091
PD_63P_filtered_2	1.71149895728	47.0	136.938215662	3019406.0	9.09090909091
PD_64P_filtered_1	1.19202014731	48.0	122.973734823	3983830.0	9.09090909091
PD_64P_filtered_2	1.12053598535	48.0	123.208788026	3983830.0	9.09090909091
PD_65P_filtered_1	1.42017156431	48.0	125.36541318	3300182.0	9.09090909091
PD_65P_filtered_2	1.42065515091	48.0	125.630874297	3300182.0	9.09090909091
PD_66P_filtered_1	1.40755272482	46.0	125.027401471	2700512.0	9.09090909091
PD_66P_filtered_2	1.41540842122	46.0	125.249645252	2700512.0	9.09090909091
PD_6P_filtered_1	1.03798399426	47.0	126.047027834	2436472.0	9.09090909091
PD_6P_filtered_2	1.01993520777	47.0	126.237675623	2436472.0	9.09090909091
PD_70P_filtered_1	2.80460785121	46.0	126.791415865	2687050.0	9.09090909091
PD_70P_filtered_2	2.80274154034	46.0	126.962160734	2687050.0	9.09090909091
PD_73P_filtered_1	0.699254557004	45.0	130.528061534	1172174.0	9.09090909091
PD_73P_filtered_2	0.670899537438	45.0	130.63833697	1172174.0	9.09090909091
PD_74P_filtered_1	2.59964563878	48.0	124.93544177	3330683.0	9.09090909091
