feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__UMGS124;g__JAHZGC01;s__JAHZGC01 sp019421015	Group	PD	GroupPD	-0.129333349	0.237902005	0.214754311	0.104825256	0.579532645	0.104825256	0.579532645	NA	abundance	146	22
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp902363575	Group	PD	GroupPD	-0.814905639	0.237902005	0.625091548	0.105234403	0.579532645	0.105234403	0.579532645	NA	abundance	146	26
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola massiliensis	Group	PD	GroupPD	-0.374736422	0.237902005	0.367587658	0.106029782	0.579532645	0.106029782	0.579532645	NA	abundance	146	34
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1766;s__UMGS1766 sp900554855	Group	PD	GroupPD	-0.083083011	0.237902005	0.184065922	0.109677747	0.584491274	0.109677747	0.584491274	NA	abundance	146	14
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A intestinalis	Group	PD	GroupPD	0.474392565	0.237902005	0.144080461	0.111275628	0.584491274	0.111275628	0.584491274	NA	abundance	146	80
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900120195	Group	PD	GroupPD	0.663799052	0.237902005	0.2591057	0.111331671	0.584491274	0.111331671	0.584491274	NA	abundance	146	35
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Longicatena;s__Longicatena caecimuris	Group	PD	GroupPD	0.826840538	0.237902005	0.358920995	0.113677706	0.58504104	0.113677706	0.58504104	NA	abundance	146	28
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii	Group	PD	GroupPD	0.613764559	0.237902005	0.233848407	0.114563208	0.58504104	0.114563208	0.58504104	NA	abundance	146	65
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta	Group	PD	GroupPD	0.634834316	0.237902005	0.247842547	0.115835193	0.58504104	0.115835193	0.58504104	NA	abundance	146	64
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	Group	PD	GroupPD	0.711325171	0.237902005	0.299995905	0.120488864	0.599227637	0.120488864	0.599227637	NA	abundance	146	69
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-302;s__CAG-302 sp934162325	Group	PD	GroupPD	1.393102232	0.237902005	0.71280039	0.121647716	0.599227637	0.121647716	0.599227637	NA	abundance	146	21
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Otoolea;s__Otoolea symbiosa	Group	PD	GroupPD	0.779795165	0.237902005	0.329377725	0.124403253	0.605328023	0.124403253	0.605328023	NA	abundance	146	15
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp000435555	Group	PD	GroupPD	0.865039082	0.237902005	0.404314099	0.126975979	0.606149299	0.126975979	0.606149299	NA	abundance	146	60
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Pullichristensenella;s__Pullichristensenella stercoripullorum	Group	PD	GroupPD	-0.022148739	0.237902005	0.165817775	0.127610379	0.606149299	0.127610379	0.606149299	NA	abundance	146	49
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides salyersiae	Group	PD	GroupPD	-0.354562983	0.237902005	0.370899292	0.130048547	0.61046318	0.130048547	0.61046318	NA	abundance	146	18
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila_F	Group	PD	GroupPD	1.627855042	0.237902005	0.890207129	0.13420898	0.618180664	0.13420898	0.618180664	NA	abundance	146	22
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum faecicola	Group	PD	GroupPD	0.003212457	0.237902005	0.151708337	0.134791273	0.618180664	0.134791273	0.618180664	NA	abundance	146	48
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G ventriosum	Group	PD	GroupPD	-0.027516281	0.237902005	0.175031951	0.138225816	0.625363891	0.138225816	0.625363891	NA	abundance	146	66
