# Pathway	PD_100P_Abundance	PD_104P_Abundance	PD_105P_Abundance	PD_107P_Abundance	PD_108S_Abundance	PD_109S_Abundance	PD_10P_Abundance	PD_110S_Abundance	PD_111P_Abundance	PD_112S_Abundance	PD_113P_Abundance	PD_114P_Abundance	PD_115S_Abundance	PD_116P_Abundance	PD_117_Abundance	PD_118_Abundance	PD_119P_Abundance	PD_11P_Abundance	PD_120S_Abundance	PD_121S_Abundance	PD_122S_Abundance	PD_123P_Abundance	PD_126P_Abundance	PD_127S_Abundance	PD_128S_Abundance	PD_129P_Abundance	PD_12P_Abundance	PD_130S_Abundance	PD_131P_Abundance	PD_134S_Abundance	PD_137P_Abundance	PD_138S_Abundance	PD_13P_Abundance	PD_140S_Abundance	PD_141P_Abundance	PD_142S_Abundance	PD_145P_Abundance	PD_146S_Abundance	PD_147_Abundance	PD_148P_Abundance	PD_149S_Abundance	PD_14P_Abundance	PD_150P_Abundance	PD_151S_Abundance	PD_152P_Abundance	PD_153S_Abundance	PD_156P_Abundance	PD_157S_Abundance	PD_158P_Abundance	PD_159S_Abundance	PD_15P_Abundance	PD_160P_Abundance	PD_161S_Abundance	PD_162P_Abundance	PD_163S_Abundance	PD_164P_Abundance	PD_165S_Abundance	PD_166_Abundance	PD_167P_Abundance	PD_169P_Abundance	PD_16P_Abundance	PD_170S_Abundance	PD_171P_Abundance	PD_172S_Abundance	PD_173P_Abundance	PD_174S_Abundance	PD_175P_Abundance	PD_176S_Abundance	PD_177P_Abundance	PD_178S_Abundance	PD_179P_Abundance	PD_180S_Abundance	PD_181P_Abundance	PD_182S_Abundance	PD_183P_Abundance	PD_184S_Abundance	PD_188S_Abundance	PD_189P_Abundance	PD_190S_Abundance	PD_191P_Abundance	PD_192S_Abundance	PD_193P_Abundance	PD_194S_Abundance	PD_195_Abundance	PD_196_Abundance	PD_197_Abundance	PD_198_Abundance	PD_199P_Abundance	PD_1P_Abundance	PD_200S_Abundance	PD_203_Abundance	PD_204_Abundance	PD_205P_Abundance	PD_206S_Abundance	PD_207P_Abundance	PD_208S_Abundance	PD_209P_Abundance	PD_210S_Abundance	PD_211P_Abundance	PD_212S_Abundance	PD_213S_Abundance	PD_214S_Abundance	PD_215S_Abundance	PD_216S_Abundance	PD_217P_Abundance	PD_218S_Abundance	PD_221P_Abundance	PD_222S_Abundance	PD_223P_Abundance	PD_224S_Abundance	PD_225P_Abundance	PD_226S_Abundance	PD_227P_Abundance	PD_228S_Abundance	PD_229P_Abundance	PD_230S_Abundance	PD_231P_Abundance	PD_232S_Abundance	PD_25P_Abundance	PD_26P_Abundance	PD_27P_Abundance	PD_28P_Abundance	PD_29P_Abundance	PD_2P_Abundance	PD_30P_Abundance	PD_31P_Abundance	PD_32P_Abundance	PD_33P_Abundance	PD_34P_Abundance	PD_35P_Abundance	PD_36P_Abundance	PD_38P_Abundance	PD_39P_Abundance	PD_3P_Abundance	PD_40P_Abundance	PD_41P_Abundance	PD_42P_Abundance	PD_43P_Abundance	PD_44P_Abundance	PD_45P_Abundance	PD_46P_Abundance	PD_47P_Abundance	PD_48P_Abundance	PD_4P_Abundance	PD_50P_Abundance	PD_51P_Abundance	PD_52P_Abundance	PD_53P_Abundance	PD_54P_Abundance	PD_55P_Abundance	PD_56P_Abundance	PD_57P_Abundance	PD_58P_Abundance	PD_59P_Abundance	PD_5P_Abundance	PD_60P_Abundance	PD_63P_Abundance	PD_64P_Abundance	PD_65P_Abundance	PD_66P_Abundance	PD_6P_Abundance	PD_70P_Abundance	PD_73P_Abundance	PD_74P_Abundance	PD_75P_Abundance	PD_76P_Abundance	PD_77P_Abundance	PD_78P_Abundance	PD_79S_Abundance	PD_7P_Abundance	PD_81P_Abundance	PD_82P_Abundance	PD_83P_Abundance	PD_84P_Abundance	PD_8P_Abundance	PD_9P_Abundance	PD_Extr_neg_plate1_Abundance	PD_Extr_neg_plate2_Abundance	PD_Extr_neg_plate3_Abundance	PD_Extr_pos_plate1_Abundance	PD_Extr_pos_plate2_Abundance	PD_Extr_pos_plate3_Abundance	PD_Lib_neg_plate1_Abundance	PD_Lib_neg_plate2_Abundance	PD_Lib_pos_plate1_Abundance	PD_Lib_pos_plate2_Abundance
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	27.7541754528	0	14.4255091729	0	0	0	0	0	134.6276976041	0	25.5315657590	120.6460385644	0	0	0	0	64.7160098675	0	0	0	0	0	0	42.7474872330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.8453473676	732.8134121756	0	0	0	0	0	0	0	0	0	0	0	0	53.4826572802	0	0	0	0	0	0	0	0	0	0	0	789.5451864362	0	0	0	0	0	0	0	0	0	0	0	0	0	537.4035233215	32.2441622304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.1424278270	0	138.1783939383	0	0	0	0	0	0	0	0	522.6149331359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.5185417764	148.3995515850	0	0	14.4100731276	0	0	44.1702850001	0	90.1446209078	0	0	0	0	0	0	670.0561425333	0	0	0	0	125.4934852996	0	0	20.1769355059	0	0	0	0	0	171.1829824828	0	16.9389303773	0	0	0	0	0	0	0	0	16.6519861363	0	0	0	0	0	0	1086.5089501393	0	0	460.4546735375	506.4684508245
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	158.1846102558	616.0555052978	115.0101428220	0	97.7484336066	565.8648292678	72.3598443812	681.2954923577	740.0369851236	0	296.2457138732	689.3681531309	844.3321961462	157.3870219503	449.9219840302	265.7341601486	463.8681948653	119.1759178541	72.5861059912	81.7071271554	134.4991590060	883.5850178126	71.1874461473	166.5766492506	137.8764301988	118.7401430294	113.8812347679	815.0477633264	706.6752545005	664.9008739049	410.6288650731	800.2910705219	354.9195009577	154.5210573776	68.6201863665	85.3992837799	388.6884341029	367.8212300032	625.9187603511	428.4804798326	116.5833433880	70.3496471069	562.2111045140	53.0842246794	129.4351968704	1082.6204193044	159.9763868192	880.0971294055	303.9508038531	228.6040032551	573.4540799065	471.0515885749	0	666.3131170153	315.0426927012	478.0100507279	568.6208453131	0	882.8405965044	834.6060366558	225.3425110305	223.6774096902	796.6746940378	154.9044941187	305.2904390295	460.5326494823	631.4912510604	276.2344377094	345.5054992853	362.2407902781	1782.6969513032	168.8383669351	202.5985900216	0	565.2372055329	717.6001443410	164.7013514092	59.3734465330	317.2802813427	0	0	1000.9556966207	230.5767516804	260.7020750678	858.9157280028	230.0685958817	460.3257582580	0	253.1695152483	145.1775768082	231.2159398722	542.5397907999	449.6844365488	478.9701290896	90.0999533076	405.9240441644	268.3173841318	454.0902241646	0	0	522.2018174144	128.4511441197	1108.7669981941	0	0	0	371.8200657964	114.0565925459	512.9617766613	179.6397990241	614.6247703948	638.7583233690	359.8479628050	270.7282348814	425.6563126444	71.1834159945	226.9784169309	724.6174025185	71.1941810655	0	127.0792007365	14.5489208524	182.0959723672	26.0752354701	193.2273546535	201.2629585334	643.1117199778	282.6029040514	700.0962847581	12.5928023731	0	43.2989466465	157.9584133127	368.5868311885	16.4386236971	336.0018901998	204.1775731158	255.8745661560	33.6752793591	266.9987091243	530.8530030014	188.6152788294	230.1948689432	307.8838600994	0	393.3048498447	125.6146947967	215.8050931409	705.3438256285	868.3362820780	112.7287539271	158.9699779033	416.0132044334	313.9135657721	514.0006707389	180.7221714481	30.8309291465	373.9908467543	84.0543805418	60.7015865506	123.5529668688	20.9969838109	38.9699090901	463.0466539673	126.5405958496	340.1129287402	68.1170151152	180.6641752675	188.9012900221	0	0	232.1006744584	0	135.1051907297	522.6749180762	205.0218921726	0	0	0	0	0	2321.1442790446	0	0	1593.4530448293	1490.0605421914
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	1409.0648816638	2288.9853750021	1581.8492643656	0	2732.3130953460	2209.4097478614	813.0683615500	1571.1347778161	1929.8620891368	0	2785.3344239692	1545.7302901720	2088.0416231685	3288.5706408255	1406.3085408660	1798.3682903745	1675.2540160445	2247.1709841680	1474.2363240037	2070.5806029678	2090.9009410662	1717.7151251941	1846.4817237594	2299.9938854919	2321.1464890593	1651.1105126456	1502.8667555511	1631.4099945495	1375.4279086092	3097.5315873862	2137.3737163087	777.6561475114	1825.5152370271	3978.2993228277	2755.7006161635	2124.9140459116	2594.9150943413	1858.5507457957	2124.1330774520	2798.7709153357	1513.3825029892	1789.3506697067	1488.5779708979	1944.0202036220	1788.3095422606	3095.8089072336	1997.3736055133	2137.2440748017	2633.7851413642	3126.5422442870	1577.3876704969	2457.2514947641	0	2131.1899595430	2585.1785832307	1400.8965074702	1919.2509996899	2293.3901617878	1270.1342271453	1813.8288668943	1990.5032334670	1818.3921396021	1995.6250340926	1099.4584575630	2024.6007999915	2154.5004772334	1266.0606963044	2289.4693148889	1575.2716938874	3153.6533447148	3771.1801781020	2082.6998372060	1997.0563242301	0	3297.2850106241	3974.2050898698	1963.2607672092	2169.2514162768	2450.8278415721	0	0	1943.3325423548	1929.0938584474	2545.5344322577	3188.5910922095	2417.9517340892	1948.8448556881	0	1096.8681890824	2412.1316983783	1742.0378293558	1336.3214525151	1262.1534890332	2296.7685035347	2985.2662613856	1839.2462846583	2632.4226620651	1879.4071585418	0	0	2602.8299722617	1822.2801145972	2816.4711315150	0	0	0	2068.6771612403	2205.0073602558	3172.7609046825	4091.2111641953	2749.3334442929	1955.4760865725	1773.3398819440	2107.5408577144	2750.3144994181	2821.6491982547	2878.4198033343	2810.5987576223	1703.4959325435	0	1983.7192394328	17.4821080041	1365.4649605245	1182.1556429278	1099.8839005160	1613.8595959344	1826.2886647818	1465.5947065302	1297.9638464212	2539.4830187309	0	1678.7607726045	729.2667149928	1678.7273272463	1765.4283254687	1108.1731249401	2410.8081095447	1062.9352624774	1939.7343761137	2043.0242503984	1498.4799500659	1536.3328456754	1429.5232634277	1223.4127502932	37.3705649467	1699.1995997755	1079.6570553923	1440.8090873712	1307.3643586945	2470.3758361381	3670.0103291443	2296.7393792399	1434.5564486269	820.7348612167	1569.5582828233	1412.1057418806	1551.6722350580	1567.5006945710	1282.5660621024	1407.1418481500	1168.0095754812	1412.3616389395	360.1571299361	1846.5265167363	1415.9872854038	1349.2123411243	1300.9902573967	1069.0489693266	1853.2054474168	1624.1389057041	0	1784.0272552648	0	1047.6101459680	1294.0014258225	2004.2019095156	0	0	0	0	0	4158.6730692435	0	0	3156.1247328118	3097.6098231214
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	1454.3559470864	2317.5050300779	1577.0393812668	0	2847.2936857674	2316.8555081173	889.9298805940	1574.2004679140	1952.1088683004	0	2941.7955318159	1503.2932464463	2164.7734939247	3462.8532259215	1447.1962896988	1794.1522409676	1711.5929847423	2290.9887916691	1515.0956515588	2053.7555422043	2140.7051323340	1736.5847641309	1890.6254232495	2356.7897586659	2408.1812729252	1670.6286129735	1530.8813707866	1664.1717346127	1430.6646767558	3200.8072810459	2162.7520089730	816.9539751765	1899.7550038971	4238.2358102252	2905.8309558806	2317.3542143869	2666.1401063175	1901.1410685381	2167.3666973355	2859.8233284058	1567.7000178077	1872.8477040546	1365.0178509085	2062.2346841645	1838.0948965558	3200.8804032181	2083.4456652535	2139.6482733690	2782.2542545054	3248.2684243080	1621.7196428542	2527.2912261551	0	2244.8593611409	2651.2204150578	1446.3748662738	1990.3152831164	2447.8473522718	1313.0225576761	1871.7351583536	2011.0708932653	1898.7575476460	2101.0845695753	1153.9616550791	2164.6766182586	2229.0726453602	1254.5690187945	2367.0140925096	1590.9298860054	3331.5724555332	3914.3872145255	2187.1171616387	2073.5135812100	0	3479.5428364583	4201.0353199168	2053.1100523480	2306.2732682624	2542.1912821833	0	0	2014.4571650114	1982.8020619752	2618.4772104169	3253.3380878095	2565.5799667302	2041.8407200799	0	1121.7271813407	2420.9498051225	1843.3844532395	1352.5489088174	1222.9886969858	2435.8779007121	3108.0747034432	1860.4873267858	2776.0987765283	1971.5735832184	0	0	2695.2921300077	1869.0596370381	2887.9420835693	0	0	0	2129.0635937987	2333.5008630500	3167.7635023775	4382.7782844348	2828.9694428319	2036.4094650306	1841.3426983555	2232.6178446519	2887.3476327854	3093.7677002124	3008.5306193784	2843.9937286738	1739.4592905619	0	2075.8085408092	20.3316857088	1418.5930088846	1249.8487878621	1138.0131102851	1650.0593357381	1861.0217386980	1542.2350214243	1315.0856125646	2724.3174355132	0	1833.5010198426	795.3987316883	1685.1661510849	1877.0108915272	1156.8049217356	2480.4134854682	1063.1663562514	2044.8993649538	2100.0725411475	1520.7083983362	1539.6975686568	1460.6105339068	1285.6055284617	44.5796484364	1739.9184208788	1099.1599806837	1494.8738345990	1310.5296598672	2573.2166275157	3829.5153405508	2298.0964809151	1422.5731261999	809.5685378677	1625.8055235875	1506.3552814703	1628.3221864327	1631.9356863666	1329.7437661914	1501.6579697453	1223.1015100745	1466.6536238185	369.8186166769	1917.3202802422	1474.2449939908	1336.0309984097	1360.2718863779	1098.3290877711	1993.6714695125	1810.3119926233	0	1829.1510112919	0	1140.9320459705	1312.1053126889	2055.6399184196	0	0	0	0	0	4214.6132502965	0	0	3128.8731821335	3072.8356949075
ARO-PWY: chorismate biosynthesis I	1438.1520450556	2576.4915504907	1649.9802496830	0	2943.6757102464	2379.8102499487	973.2204293954	1874.6731359243	1869.6345722612	0	2883.2689367569	1681.4198613394	2215.6325655353	3445.8461081258	1650.4138397337	2011.0652120839	1787.9969985696	2484.9173188116	1525.9314043758	1809.5616616773	2033.5474423454	1872.7976561616	1869.6631791001	2029.2750309723	2476.8132443000	1612.0738842645	1477.8106469524	2120.0817863564	1725.3755878440	3420.4112267790	2439.6068981644	1320.5505339891	1935.4102681980	4227.0984191451	2579.2554903687	2212.1947120266	2738.9397994036	1973.2993533781	2318.9459805481	3105.3720230106	1446.8309281439	1747.5037507893	1396.3783104562	2111.4480771716	1764.4160685766	3476.8533661735	2150.2074968707	2425.8163292322	3026.3958015176	3516.1735479405	1730.8373006052	2742.5293517678	0	2370.6999737430	2751.5833500130	1641.7545011582	2396.4440491541	2084.1264068034	1754.8355546115	2128.3543034023	1976.5442913928	2110.7908635286	2232.3577020181	1124.9438485392	1872.0971463399	2244.4581094119	1359.1274766210	2427.4559795833	1538.1945675323	3138.0070258097	4194.5238959125	2262.1492102668	2142.7151805135	0	3411.9475964411	4281.9347321332	2055.5516714723	2390.1046787256	2467.3724005250	0	0	2158.2408845905	2125.8729653023	2319.6454824957	3371.1762158880	2483.0041203928	1942.5090903098	0	1158.5151134183	2218.3286441182	1811.3860592660	1549.9228552520	1488.7375144976	2662.3173634990	3055.1427209909	1925.9146155031	3002.7114185422	2265.5720517075	0	0	2972.5016623237	2033.2155996949	3445.7128706213	0	0	0	2166.6740596424	2339.8413124904	3386.6914979961	4654.6603571841	3072.2614143613	2075.8907839057	1867.6734280012	2299.3635138022	3000.5727060197	3317.2323326987	3161.6853365701	2873.1257720757	1609.3243656456	0	2107.2434234377	21.9133276740	1467.5727863485	1181.0704610827	1264.9730867469	1958.4441965016	1975.3063402837	1862.1857226367	1667.0762057718	2616.6227846805	0	1823.4371403199	709.0796872340	1904.2729979583	1883.6084934195	1249.4155843588	2487.1078336673	1103.2144511471	2045.9755554321	2285.8890863068	1515.2405059339	1783.9986185089	1531.8265129029	1347.0552472809	39.3631684586	1763.4681682616	1149.4636222754	1559.1937011012	1552.5573585138	2132.0521657787	3763.4285780230	2717.1216075472	1561.8463681278	822.1530115041	1614.2308278598	1502.2124506847	1630.6337221057	1707.8307720508	1227.0467230222	1523.9218728535	1114.7613143185	1432.8967373836	334.6242577921	1998.4009463330	1484.2454245796	1330.8157058315	1487.2221258893	1081.8104040987	1776.4639087639	1915.8126696417	0	1796.4066270077	0	1167.4981532600	1530.3392303788	2035.0986686965	0	0	0	0	0	3927.5369152314	0	0	2902.8713687764	2727.3983899121
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	607.6735749469	951.2557409737	516.4368244826	0	797.7455849249	876.9040077243	234.0328413108	873.4910905017	1283.3941174706	0	1032.3522271194	1237.0604572135	979.4538225428	972.6934699840	717.9349124161	608.9250810459	1098.8631169374	789.5561282398	554.6482265406	407.0827892870	498.6925915490	790.5655513518	439.1330206842	557.1685613693	546.6726795062	591.9968554120	488.8506457076	926.8561937655	1098.2589127490	1226.8895893560	750.7491861086	689.4620173118	528.4473295832	1133.2364631828	798.2919455609	1129.1020529202	898.7571329931	569.2765597457	811.8174400327	911.1460758114	245.2520646180	408.7835692600	1213.2744157324	589.1210138877	546.7591804844	2530.6158267580	616.9337528258	1146.7430406074	912.2318333329	1298.7650088770	1025.5856349066	689.1929482740	0	1400.2227285252	1072.1664259858	751.6976265560	1294.5968152028	321.0499239213	1290.5354095861	905.5585149449	643.1401967864	606.4362033950	822.9798234697	312.8956054197	561.6997225544	988.3221013604	774.7899273684	727.5009692327	600.5211813832	769.7028468532	3278.5856627579	786.7408041511	655.7306463362	0	999.1374622522	1288.0278086877	511.6933100406	715.9308092382	535.5337755727	0	0	959.3325466842	551.8011078152	672.7272491321	2377.2271185645	804.4050407238	743.0185281442	0	291.0136456618	584.4328961102	607.7084031795	457.3561666258	924.9291375444	840.3699459622	995.2946220874	552.2704989935	1057.7904943392	783.6482479522	0	0	840.4588306796	870.4218709085	1447.5528933041	0	0	0	649.7014073466	628.0467761944	1338.0603803730	1068.8157139573	998.2760623616	804.8817235165	587.2275664365	538.3668734132	1393.1057978463	1380.6654893632	996.9796478889	1756.3339423658	475.7588718496	0	442.6675299959	9.4483639134	482.7340716115	249.5178611301	373.0979860980	508.7051701144	734.0688751390	624.4952778138	821.1471679553	856.8415468163	0	718.3702668793	181.6330972783	1035.5752586806	930.1120408565	620.3041909203	1225.4333519752	357.0818688963	586.8695612752	701.2490512825	1049.8990257635	534.6142869992	827.7088809499	463.5077260539	23.5492867005	709.7993553887	272.4344138258	332.5199276732	542.0387600930	2015.4103677278	909.1446001798	619.1941212064	634.3894477481	410.9442247881	1140.6791325976	393.8696848814	435.0171362722	523.1804156873	587.0504299521	488.9910671670	354.2570935683	312.9611845877	131.5474155775	1282.0355515469	357.0466713983	659.6578115822	413.8516673140	431.3400505273	632.6821371377	913.8362712369	0	501.7069622276	0	201.8790594204	881.2000218787	1286.4884848325	0	0	0	0	0	3791.2737403565	0	0	2187.1998549110	2023.3958656999
AST-PWY: L-arginine degradation II (AST pathway)	46.3389273239	0	16.7777370328	0	10.4214748224	0	0	0	303.8298837416	0	175.6781042362	250.6781469272	0	0	0	0	204.8870657055	0	0	0	0	0	0	36.9118270360	0	0	27.1838793033	0	0	0	0	0	0	32.3861768435	19.7036262567	0	18.1512299683	0	0	10.4373238052	0	0	0	0	35.4260957805	1192.0898865291	0	0	0	86.0217395933	81.7722371341	0	0	264.6791223360	55.8613624815	0	131.0927869323	0	98.6849682387	0	0	0	0	0	0	0	0	0	0	0	1016.8692663873	0	0	0	0	0	0	0	0	0	0	0	0	109.6132544329	546.7442371318	33.8467154284	0	0	0	0	14.5630676268	0	134.6106624672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178.9725944573	0	0	0	0	0	114.4648946975	0	0	536.4329375720	0	0	0	0	0	0	0	18.8513515558	0	0	44.5862260233	7.7370035904	0	0	0	105.1942650641	200.6368878088	0	6.5660136439	42.9822532285	0	0	355.2692066467	0	145.0200266015	13.4065605282	0	0	0	0	0	464.7976345493	0	22.0898747866	18.2286473835	0	240.6802961159	0	0	16.9546633888	0	0	47.0796804490	0	0	231.8779621121	0	101.9550148357	0	0	15.3005710457	0	0	0	0	0	55.6653130429	0	0	0	0	0	0	2207.1012375839	0	0	914.9263420701	852.4293967100
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	265.9234439746	415.0427201549	120.8202396892	0	236.2892914204	303.0822874928	61.8763391182	208.3568949274	1104.7396501280	0	944.8393175889	934.5186999261	391.2080648068	34.7064062192	223.0350104387	200.2951930367	797.9811892143	205.7054577333	191.8731320410	97.4314670713	98.5651074390	573.5174086048	224.0562228750	244.5546436960	258.5416036927	179.7121512053	296.7887566295	449.5423138714	271.5700102335	449.8646249178	209.4501738215	281.9931867835	217.0663646753	443.3744360064	145.3093404439	134.4997936474	480.0887180922	80.9321185694	328.2196191775	672.4322190732	143.5578010496	126.5381948438	442.2576368974	0	377.8514518167	1576.3873167287	165.4527160176	268.3396024230	311.5075456597	607.8030048549	736.1790540901	568.5783808427	0	953.3114920110	720.5013317867	364.5405250731	982.6964111391	48.4406455609	769.0298055541	539.9242287403	250.3053214392	213.1063138576	600.0793940160	203.8336958030	119.6338924725	509.3950873967	446.8109028203	396.2572026987	302.6015949545	294.6799080425	2172.0890469208	251.2943004455	204.2954378778	0	634.1758904995	323.9013120576	0	0	159.0401010995	0	0	474.5324537836	315.7451254237	582.3654714358	1571.1231407874	515.2357798701	19.7809316059	0	304.7153819793	111.5960411624	343.8626053594	382.0217659516	745.0298226873	246.6306495865	185.1348195879	452.2355997474	255.1635334711	219.5351319684	0	0	400.9608012045	0	537.1500109294	0	0	0	377.0717013924	85.4230678123	1298.0891473726	295.2371512713	484.0457871272	458.3477267053	235.4377148941	203.0636100758	1114.3364730800	226.5380122916	399.5007788237	1243.9824455409	211.1438004106	0	112.2669268247	0	293.9343259229	38.3545909921	0	618.0841852586	461.0133161358	179.1845202785	591.5497963108	150.8948883781	0	0	149.8931607527	691.1615669103	515.9575856768	134.2494762576	378.2765552017	242.0491065845	144.8138153281	226.8172133257	682.3547764839	438.5458008324	710.9011170146	330.1021310929	0	0	164.7356969398	125.2909915501	422.6543578667	1074.1329277048	295.4026627609	195.5232838288	566.9301659093	86.4613415382	701.0084910752	249.3279554833	193.0931732317	327.1340240582	171.6950341021	69.1560779476	246.6329516706	85.8468086151	46.8518996752	681.4295112591	134.5690187807	644.1458885486	72.3461687164	173.3955465838	123.4934305440	0	0	96.4015755133	0	99.7481788670	414.6506929936	349.4952803636	0	0	0	0	0	4352.1901623335	0	0	2497.9725125822	2248.3181920155
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	1521.7471426145	2305.2604123972	2118.4220976458	0	2599.9988454397	2059.7541413819	727.9409746037	1783.2187084406	2099.3468022407	0	3611.9629923293	2030.8964712189	1663.7926435871	2967.1708194119	1814.0040331639	1778.8435510427	1952.3572298797	2117.7815221513	1397.7579516709	1854.2136795158	1885.3919132047	1831.9636350129	1571.7322447168	2263.1274177967	1941.8516530644	1931.3410583117	1330.7739624874	1854.2213881730	1441.9670521617	3151.9123913368	2336.5656715768	1323.0249924027	1714.9589873626	3763.7181781789	2335.0074018196	2118.8559764994	2715.9930403241	1655.0675991041	2030.4548199907	2562.5996032053	1278.3162101970	1645.4367956365	1345.3804678929	1792.7043386715	1505.5892352218	3280.3551669242	2064.8148170067	2357.8325937783	2679.7023987573	2954.6485497284	1906.8826583185	2813.3266845635	0	2362.6409328905	2491.3915845414	1641.6217931951	2387.8385958280	1637.7027848744	2000.0376127225	2074.4045911163	1791.1856530386	1701.2158509555	1751.3030631383	959.0114350018	1722.8486754530	2088.9345179541	1416.1004178618	2101.9457365330	1577.8604285486	2755.8054168751	4369.9966861659	2108.8117918197	2017.1891936879	0	2443.7177848972	3700.3587088124	1724.9328059231	2021.8729255315	2124.8107770291	0	0	2096.3402451299	1988.2994841726	2590.6358740937	3420.1971159865	2344.2998510666	1901.4883492840	0	1306.6406329237	2049.0195513574	1714.1133265499	1417.7962922489	1703.8912720830	2398.9749178338	3197.7846562805	1624.1404381007	2680.6498246104	1936.2324044721	0	0	2012.3373445261	2177.4482343554	2837.8367483852	0	0	0	1962.3705299312	2198.0160273517	3060.3295229646	4094.0961135786	2474.2892195448	1822.0291308630	1787.6636765975	2012.5230290572	3155.7002249996	2867.5776489491	2921.0893401184	2875.3731650205	1624.9325896802	0	1684.7755142660	19.6987185512	1498.3001555981	1100.9125690883	1101.7510153186	2193.4908375572	1848.2875175017	1541.3183990167	1627.3626875721	2271.0271304568	0	1645.4783355101	767.4432730356	1709.3397846552	1860.4459905435	1172.5938350577	2685.4911937033	1049.4068971693	2011.0968389778	1944.7781872930	1926.0482630718	1700.2865929022	1495.5461512049	1146.4110464338	33.4396030194	1726.0440100307	855.4506204157	1343.0603786341	1686.4139774983	2746.8414399450	3347.1218730203	2325.7107721189	1672.3303104013	851.9217034606	1698.3042083042	1408.3729163421	1530.6219709650	1664.0540437786	1179.2973081747	1324.0058449702	1095.9929706696	1409.1397622836	348.9953934022	2138.9010569664	1294.3744255098	1711.0422782006	1327.9376229962	1114.1366938202	1810.5265869781	1541.1633559277	0	1519.1476870907	0	927.8055861952	1454.2384801732	2243.4314319501	0	0	0	0	0	4697.7115840299	0	0	3317.5073029158	3287.9443501178
CALVIN-PWY: Calvin-Benson-Bassham cycle	1340.7610930897	2184.6549723284	846.8027816619	0	2769.1355327576	2222.2993513736	701.3353178674	1703.6570978688	2006.2518833307	0	2315.8179134603	1921.1451863906	1726.7780919493	2943.1964963959	1608.9523785537	1706.6185596010	1834.5595263577	2182.7659630582	1377.9908109124	1946.3836870094	1905.5017399771	1773.0028305388	1903.9812630898	2155.4247955476	2041.7253261716	1174.2039953326	1145.9761783950	1737.3468521033	1894.9873651644	3008.2696200645	2320.2279658251	1163.1170877729	1679.6136205650	3710.1636080156	3191.8372207758	2437.3482874314	2474.1981204268	1688.7841413502	1975.6836256182	2462.1456047391	1268.3510288207	1462.4473493235	1588.8394046526	1800.0831983982	1482.3092414468	3939.1874987999	2200.0444594945	2225.3693860958	2918.7748677060	3195.9731023505	2048.6903774614	1658.2433277502	0	2334.3171457073	2366.1092949615	1446.5976322353	2447.6713447129	1650.3490393703	1709.9227163676	1736.1027023315	1818.9603015844	1969.4116771028	1919.3507900658	982.8717058847	1468.4727909755	2159.3250784246	1217.1536764609	2054.6615222858	1421.7398822407	2571.6856961552	4438.6522549975	2330.6167962062	2086.3224337392	0	2825.2280094552	3733.6589091415	1757.2016389878	2227.2597207264	1989.2128889945	0	0	1949.2693686104	1702.6291233029	2105.3619475929	3619.2185632453	2128.4673460233	1889.5915655146	0	759.6403409030	1965.3539802043	1569.8219647050	927.7897703201	1444.7990059713	2350.7341949393	3377.6246921109	1690.8611456114	2935.7485674838	2167.4263269468	0	0	2491.7602012457	1903.7355232221	2738.7517638320	0	0	0	1848.2783248303	2237.5154658626	3009.0965036015	4353.6932127480	2620.9920776128	1745.7115214250	1667.3323304518	1980.5847164359	2967.3995098975	3575.6228732508	3098.6842845145	2980.2015381303	1667.2637454001	0	1804.1348291735	22.9286457703	1242.1280610929	954.2840751587	1091.6714469590	1296.8009740845	1660.9868784749	1583.4202140194	1448.2582497061	2496.9804502939	0	1861.8443168166	625.5699220750	1653.7187207806	1743.3929003944	1144.1698296875	2227.7284673854	1084.4809395622	1941.2662173129	1961.7404173670	2023.3812119038	1516.6109767759	1697.7703388037	1237.3467903118	44.7396445548	1836.0213265325	820.3506932261	1297.6579932512	1254.0445514859	3042.1485336595	3068.0924472320	2483.1284162813	1386.7264596596	481.3390426270	1738.7757604581	1181.5184716993	1529.8547726707	1568.6199709578	1451.9745206652	1591.6567944214	1111.6189181380	1168.4148932598	378.0563243013	2051.5320228713	1243.4322039356	1296.5253820470	1388.6948660256	980.4577981471	1656.7015621432	1702.9334400933	0	1536.6470465904	0	871.3688573818	1840.1623100405	1752.5764294844	0	0	0	0	0	4813.7499194234	0	0	3729.3486976252	3525.4885784039
