feature	metadata	value	coef	abs coef	stderr	N	N.not.0	pval	qval	p-val rank	q-val adjusted for block	Log q val
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Sellimonas.s__Sellimonas.intestinalis	Group	PD	0.499696663	0.499696663	0.196135947	146	32	0.011955253	0.205575383	1	0.088998621	1.050616722
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Enterocloster.s__Enterocloster.sp900541315	Group	PD	-0.499147578	0.499147578	0.165906447	146	35	0.003128026	0.129986878	2	0.048745079	1.31206922
d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia.s__Akkermansia.muciniphila	Age	Age	0.499000212	0.499000212	0.215502097	146	54	0.022080581	0.278808555	1	0.290691315	0.536567944
d__Bacteria.p__Actinomycetota.c__Actinomycetes.o__Actinomycetales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium.adolescentis	Sex_Male1_Female2	Female	-0.498262462	0.498262462	0.39292453	146	67	0.206933467	0.669360918	1	0.912017603	0.039996779
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia_A.s__Blautia_A.sp934424005	Group	PD	-0.497253637	0.497253637	0.323595932	146	122	0.126702357	0.565661606	1	0.351012456	0.454677472
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium.sp900539945	Sex_Male1_Female2	Female	-0.496846242	0.496846242	0.259361587	146	80	0.057508388	0.438797761	1	0.651761729	0.185911144
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Mediterraneibacter.s__Mediterraneibacter.faecis	Group	PD	-0.49375837	0.49375837	0.324469638	146	112	0.130395994	0.575434831	1	0.355971547	0.448584714
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes.sp902363575	Sex_Male1_Female2	Female	-0.493078282	0.493078282	0.225428296	146	26	0.030430115	0.326190757	1	0.651761729	0.185911144
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia.s__Roseburia.intestinalis	Sex_Male1_Female2	Female	-0.492909774	0.492909774	0.284307562	146	75	0.085233952	0.510905214	2	0.714499006	0.145998371
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Anaerotignaceae.g__Anaerotignum.s__Anaerotignum.faecicola	Group	PD	-0.492095505	0.492095505	0.192590488	146	48	0.011714594	0.204098272	1	0.088998621	1.050616722
