Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	Total Bases	Sequence length	File type	basic_statistics	per_sequence_gc_content	sequence_length_distribution	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
PD_214S_filtered_prinseq_2	pass	0.0	pass	135.599596455	Sanger / Illumina 1.9	pass	594.4 Mbp	60-151	Conventional base calls	pass	pass	warn	4357379.0	pass	pass	pass	46.0	96.7531069733	PD_214S_filtered_prinseq_2.fastq	fail	pass
PD_215S_filtered_prinseq_1	pass	0.0	pass	133.12058945	Sanger / Illumina 1.9	pass	851.2 Mbp	60-151	Conventional base calls	pass	pass	warn	6356294.0	pass	warn	pass	46.0	97.4062572965	PD_215S_filtered_prinseq_1.fastq	fail	pass
PD_215S_filtered_prinseq_2	pass	0.0	pass	133.00280824	Sanger / Illumina 1.9	pass	850.5 Mbp	60-151	Conventional base calls	pass	pass	warn	6356294.0	pass	pass	pass	46.0	97.4907863586	PD_215S_filtered_prinseq_2.fastq	fail	pass
PD_216S_filtered_prinseq_1	pass	0.0	pass	133.556922456	Sanger / Illumina 1.9	pass	3.9 Mbp	60-151	Conventional base calls	pass	warn	warn	29751.0	pass	warn	pass	43.0	98.5546704312	PD_216S_filtered_prinseq_1.fastq	fail	pass
PD_216S_filtered_prinseq_2	pass	0.0	pass	133.473900037	Sanger / Illumina 1.9	pass	3.9 Mbp	60-151	Conventional base calls	pass	pass	warn	29751.0	pass	warn	pass	43.0	98.4538334846	PD_216S_filtered_prinseq_2.fastq	fail	pass
PD_217P_filtered_prinseq_1	pass	0.0	pass	135.624001073	Sanger / Illumina 1.9	pass	7.1 Mbp	60-151	Conventional base calls	pass	pass	warn	52181.0	pass	warn	pass	42.0	98.0778444261	PD_217P_filtered_prinseq_1.fastq	fail	pass
PD_217P_filtered_prinseq_2	pass	0.0	pass	135.464057799	Sanger / Illumina 1.9	pass	7.1 Mbp	60-151	Conventional base calls	pass	pass	warn	52181.0	pass	warn	pass	42.0	97.9724420766	PD_217P_filtered_prinseq_2.fastq	fail	pass
PD_218S_filtered_prinseq_1	pass	0.0	pass	135.62145749	Sanger / Illumina 1.9	pass	134.7 kbp	60-151	Conventional base calls	pass	warn	warn	988.0	pass	warn	warn	47.0	99.1902834008	PD_218S_filtered_prinseq_1.fastq	fail	pass
PD_218S_filtered_prinseq_2	pass	0.0	pass	135.801619433	Sanger / Illumina 1.9	pass	134.9 kbp	60-151	Conventional base calls	pass	warn	warn	988.0	pass	warn	warn	47.0	99.1902834008	PD_218S_filtered_prinseq_2.fastq	fail	pass
PD_221P_filtered_prinseq_1	pass	0.0	pass	133.969142771	Sanger / Illumina 1.9	pass	619.5 Mbp	60-151	Conventional base calls	pass	warn	warn	4596589.0	pass	pass	pass	48.0	98.3649373264	PD_221P_filtered_prinseq_1.fastq	fail	pass
PD_221P_filtered_prinseq_2	pass	0.0	pass	133.911448685	Sanger / Illumina 1.9	pass	619.2 Mbp	60-151	Conventional base calls	pass	warn	warn	4596589.0	pass	pass	pass	48.0	98.3731936978	PD_221P_filtered_prinseq_2.fastq	fail	pass
PD_222S_filtered_prinseq_1	pass	0.0	pass	130.243650055	Sanger / Illumina 1.9	pass	573.9 Mbp	60-151	Conventional base calls	pass	pass	warn	4380274.0	pass	warn	pass	47.0	98.4965436138	PD_222S_filtered_prinseq_1.fastq	fail	pass
PD_222S_filtered_prinseq_2	pass	0.0	pass	130.116868032	Sanger / Illumina 1.9	pass	573.3 Mbp	60-151	Conventional base calls	pass	pass	warn	4380274.0	pass	warn	pass	47.0	98.5376894509	PD_222S_filtered_prinseq_2.fastq	fail	pass
PD_223P_filtered_prinseq_1	pass	0.0	pass	132.727256058	Sanger / Illumina 1.9	pass	844.7 Mbp	60-151	Conventional base calls	pass	warn	warn	6326234.0	pass	pass	pass	49.0	97.3732556531	PD_223P_filtered_prinseq_1.fastq	fail	pass
PD_223P_filtered_prinseq_2	pass	0.0	pass	132.6354678	Sanger / Illumina 1.9	pass	844.1 Mbp	60-151	Conventional base calls	pass	warn	warn	6326234.0	pass	pass	pass	49.0	97.4594104972	PD_223P_filtered_prinseq_2.fastq	fail	pass
PD_224S_filtered_prinseq_1	pass	0.0	pass	134.319336792	Sanger / Illumina 1.9	pass	917.3 Mbp	60-151	Conventional base calls	pass	pass	warn	6788463.0	pass	warn	pass	45.0	93.8160474685	PD_224S_filtered_prinseq_1.fastq	fail	pass
PD_224S_filtered_prinseq_2	pass	0.0	pass	134.226046161	Sanger / Illumina 1.9	pass	916.7 Mbp	60-151	Conventional base calls	pass	pass	warn	6788463.0	pass	warn	pass	45.0	93.7971070558	PD_224S_filtered_prinseq_2.fastq	fail	pass
PD_225P_filtered_prinseq_1	pass	0.0	pass	131.895759692	Sanger / Illumina 1.9	pass	767.9 Mbp	60-151	Conventional base calls	pass	pass	warn	5787646.0	pass	warn	pass	46.0	96.6675626473	PD_225P_filtered_prinseq_1.fastq	fail	pass
